record_type,path,parent_path,sweep_id,filigree_task,risk_rating,priority,loc,tracked_files,max_child_risk,risk_factors
folder,src/elspeth/,,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,5,P1,255471,743,5,rollup:S-FRONTEND-COMPONENTS; files:743; max_child_risk:5; avg_child_risk:4.00; dense boundary/audit/config vocabulary=315; boundary/audit/config vocabulary=301; test/support file under src=146; capped<=3=146
file,src/elspeth/__init__.py,src/elspeth,S-ROOT-CLI,elspeth-5b920be58a,2,P3,16,,,chunk:S-ROOT-CLI; boundary/audit/config vocabulary; tiny/package glue
file,src/elspeth/cli.py,src/elspeth,S-ROOT-CLI,elspeth-5b920be58a,5,P1,2368,,,chunk:S-ROOT-CLI; large-file>=1000loc; dense boundary/audit/config vocabulary; many dynamic/exception escape hatches
file,src/elspeth/cli_formatters.py,src/elspeth,S-ROOT-CLI,elspeth-5b920be58a,3,P2,196,,,chunk:S-ROOT-CLI; boundary/audit/config vocabulary
file,src/elspeth/cli_helpers.py,src/elspeth,S-ROOT-CLI,elspeth-5b920be58a,4,P1,446,,,chunk:S-ROOT-CLI; dense boundary/audit/config vocabulary; dynamic/exception escape hatch
folder,src/elspeth/composer_mcp/,src/elspeth,S-MCP-TUI-TELEMETRY,elspeth-6f77e4eec0,5,P1,1485,4,5,rollup:S-MCP-TUI-TELEMETRY; files:4; max_child_risk:5; avg_child_risk:3.75; dynamic/exception escape hatch=3; boundary/audit/config vocabulary=2; high-risk role/name=2; dense boundary/audit/config vocabulary=2
file,src/elspeth/composer_mcp/__init__.py,src/elspeth/composer_mcp,S-MCP-TUI-TELEMETRY,elspeth-6f77e4eec0,2,P3,23,,,chunk:S-MCP-TUI-TELEMETRY; boundary/audit/config vocabulary; dynamic/exception escape hatch; tiny/package glue
file,src/elspeth/composer_mcp/audit.py,src/elspeth/composer_mcp,S-MCP-TUI-TELEMETRY,elspeth-6f77e4eec0,5,P1,255,,,chunk:S-MCP-TUI-TELEMETRY; high-risk role/name; dense boundary/audit/config vocabulary
file,src/elspeth/composer_mcp/server.py,src/elspeth/composer_mcp,S-MCP-TUI-TELEMETRY,elspeth-6f77e4eec0,5,P1,919,,,chunk:S-MCP-TUI-TELEMETRY; high-risk role/name; medium-large-file>=500loc; many load-bearing/debt comments; dense boundary/audit/config vocabulary; dynamic/exception escape hatch
file,src/elspeth/composer_mcp/session.py,src/elspeth/composer_mcp,S-MCP-TUI-TELEMETRY,elspeth-6f77e4eec0,3,P2,288,,,chunk:S-MCP-TUI-TELEMETRY; boundary/audit/config vocabulary; dynamic/exception escape hatch
