folder_path,parent_task,folder_task,risk_rating,priority
src/elspeth/composer_mcp/,elspeth-6f77e4eec0,elspeth-cca07c66db,5,P1
src/elspeth/contracts/,elspeth-0ed307cc64,elspeth-64011c6a88,5,P1
src/elspeth/contracts/config/,elspeth-ca0bc179f5,elspeth-822cac234c,5,P1
src/elspeth/core/,elspeth-4b6a1f4dcb,elspeth-236f36d11f,5,P1
src/elspeth/core/checkpoint/,elspeth-2edc392912,elspeth-bf18719e89,5,P1
src/elspeth/core/dag/,elspeth-e5dcce584b,elspeth-67ba611f27,5,P1
src/elspeth/core/landscape/,elspeth-236f36d11f,elspeth-3f062fca72,5,P1
src/elspeth/core/rate_limit/,elspeth-2edc392912,elspeth-f11e40d841,4,P1
src/elspeth/core/retention/,elspeth-2edc392912,elspeth-4650c9ca22,4,P1
src/elspeth/core/security/,elspeth-2edc392912,elspeth-9bec965550,4,P1
src/elspeth/engine/,elspeth-097b565746,elspeth-75cd9af7d0,5,P1
src/elspeth/engine/executors/,elspeth-1d312ad9cc,elspeth-4e482ec2e7,5,P1
src/elspeth/engine/orchestrator/,elspeth-097b565746,elspeth-b5eddb364a,5,P1
src/elspeth/mcp/,elspeth-6f77e4eec0,elspeth-839921e0b2,5,P1
src/elspeth/mcp/analyzers/,elspeth-6f77e4eec0,elspeth-a29a296a6d,5,P1
src/elspeth/plugins/,elspeth-66f5b70e17,elspeth-b94ea13cfd,5,P1
src/elspeth/plugins/infrastructure/,elspeth-66f5b70e17,elspeth-a70c5385a4,5,P1
src/elspeth/plugins/infrastructure/batching/,elspeth-66f5b70e17,elspeth-189aa3f690,5,P1
src/elspeth/plugins/infrastructure/clients/,elspeth-66f5b70e17,elspeth-3a97ac341e,5,P1
src/elspeth/plugins/infrastructure/clients/retrieval/,elspeth-66f5b70e17,elspeth-490336d0c3,5,P1
src/elspeth/plugins/infrastructure/pooling/,elspeth-66f5b70e17,elspeth-80c792ade0,5,P1
src/elspeth/plugins/sinks/,elspeth-b8507e2f04,elspeth-45ee4a8bab,5,P1
src/elspeth/plugins/sources/,elspeth-b8507e2f04,elspeth-d6bb0fcdf1,5,P1
src/elspeth/plugins/transforms/,elspeth-bf322e3799,elspeth-52c6d3400c,5,P1
src/elspeth/plugins/transforms/azure/,elspeth-bf322e3799,elspeth-931830faff,5,P1
src/elspeth/plugins/transforms/llm/,elspeth-bf322e3799,elspeth-ef27e18218,5,P1
src/elspeth/plugins/transforms/llm/providers/,elspeth-bf322e3799,elspeth-e7e2838bab,5,P1
src/elspeth/plugins/transforms/rag/,elspeth-bf322e3799,elspeth-700de96fab,5,P1
src/elspeth/telemetry/,elspeth-6f77e4eec0,elspeth-6dac942372,4,P1
src/elspeth/telemetry/exporters/,elspeth-6f77e4eec0,elspeth-e000eed4c1,4,P1
src/elspeth/testing/,elspeth-5b920be58a,elspeth-391a91ae1c,3,P2
src/elspeth/tui/,elspeth-6f77e4eec0,elspeth-9ebf3fbb8a,4,P1
src/elspeth/tui/screens/,elspeth-6f77e4eec0,elspeth-73017d6124,4,P1
src/elspeth/tui/widgets/,elspeth-6f77e4eec0,elspeth-379c54fbc2,4,P1
src/elspeth/web/,elspeth-7efbb06f86,elspeth-556a5cdccd,5,P1
src/elspeth/web/audit_readiness/,elspeth-9aeadc95e9,elspeth-0b1f3305c3,5,P1
src/elspeth/web/auth/,elspeth-16ee7676a3,elspeth-ffc497236c,5,P1
src/elspeth/web/blobs/,elspeth-9aeadc95e9,elspeth-10fc6ce258,5,P1
src/elspeth/web/catalog/,elspeth-9aeadc95e9,elspeth-7bfbfc23db,5,P1
src/elspeth/web/composer/,elspeth-854cc963c2,elspeth-5c75456af3,5,P1
src/elspeth/web/composer/guided/,elspeth-f9e32ec973,elspeth-9e2ce29c31,5,P1
src/elspeth/web/composer/guided/skills/,elspeth-f9e32ec973,elspeth-77b04f0ea0,4,P1
src/elspeth/web/composer/skills/,elspeth-854cc963c2,elspeth-e5f83e633e,5,P1
src/elspeth/web/execution/,elspeth-209a875e89,elspeth-ced5799d05,5,P1
src/elspeth/web/frontend/,elspeth-7efbb06f86,elspeth-03880daf07,5,P1
src/elspeth/web/frontend/public/,elspeth-cf691873fb,elspeth-52b43763e2,2,P3
src/elspeth/web/frontend/src/,elspeth-7efbb06f86,elspeth-f3ee8ff7a5,5,P1
src/elspeth/web/frontend/src/api/,elspeth-a1bda77c7e,elspeth-d9b9bb385c,5,P1
src/elspeth/web/frontend/src/components/,elspeth-7efbb06f86,elspeth-70dc6e0800,5,P1
src/elspeth/web/frontend/src/components/audit/,elspeth-7efbb06f86,elspeth-88f3799682,5,P1
src/elspeth/web/frontend/src/components/auth/,elspeth-7efbb06f86,elspeth-1182acc913,5,P1
src/elspeth/web/frontend/src/components/blobs/,elspeth-7efbb06f86,elspeth-133b29410e,5,P1
src/elspeth/web/frontend/src/components/catalog/,elspeth-7efbb06f86,elspeth-5cb73f74ea,5,P1
src/elspeth/web/frontend/src/components/chat/,elspeth-7efbb06f86,elspeth-7cf916e14a,5,P1
src/elspeth/web/frontend/src/components/chat/guided/,elspeth-7efbb06f86,elspeth-5f7cdb9545,5,P1
src/elspeth/web/frontend/src/components/common/,elspeth-7efbb06f86,elspeth-c3466c9b47,4,P1
src/elspeth/web/frontend/src/components/composer/,elspeth-7efbb06f86,elspeth-48df02c30e,4,P1
src/elspeth/web/frontend/src/components/execution/,elspeth-7efbb06f86,elspeth-cfa4b04650,5,P1
src/elspeth/web/frontend/src/components/header/,elspeth-7efbb06f86,elspeth-d76aaa01db,4,P1
src/elspeth/web/frontend/src/components/inspector/,elspeth-7efbb06f86,elspeth-953de1693e,5,P1
src/elspeth/web/frontend/src/components/recovery/,elspeth-7efbb06f86,elspeth-35b43c828e,4,P1
src/elspeth/web/frontend/src/components/sessions/,elspeth-7efbb06f86,elspeth-c460b9a03d,4,P1
src/elspeth/web/frontend/src/components/settings/,elspeth-7efbb06f86,elspeth-0373d97eec,5,P1
src/elspeth/web/frontend/src/components/shared/,elspeth-7efbb06f86,elspeth-2eb73afdca,5,P1
src/elspeth/web/frontend/src/components/sidebar/,elspeth-7efbb06f86,elspeth-334f1ed144,4,P1
src/elspeth/web/frontend/src/components/tutorial/,elspeth-7efbb06f86,elspeth-9128d30ba0,4,P1
src/elspeth/web/frontend/src/config/,elspeth-cf691873fb,elspeth-b4e4c85db7,3,P2
src/elspeth/web/frontend/src/contexts/,elspeth-a1bda77c7e,elspeth-2a3d9ddf6d,4,P1
src/elspeth/web/frontend/src/hooks/,elspeth-a1bda77c7e,elspeth-44f4b35e3c,4,P1
src/elspeth/web/frontend/src/lib/,elspeth-a1bda77c7e,elspeth-c05433f03a,3,P2
src/elspeth/web/frontend/src/stores/,elspeth-a1bda77c7e,elspeth-65453fc90b,5,P1
src/elspeth/web/frontend/src/styles/,elspeth-cf691873fb,elspeth-5f5148ed0d,3,P2
src/elspeth/web/frontend/src/test/,elspeth-2a6a24407d,elspeth-c6a5ff2054,3,P2
src/elspeth/web/frontend/src/test/a11y/,elspeth-2a6a24407d,elspeth-317ff2adb4,3,P2
src/elspeth/web/frontend/src/types/,elspeth-a1bda77c7e,elspeth-ee8493a653,5,P1
src/elspeth/web/frontend/src/utils/,elspeth-a1bda77c7e,elspeth-50d45a814f,4,P1
src/elspeth/web/frontend/tests/,elspeth-2a6a24407d,elspeth-1224c3b273,3,P2
src/elspeth/web/frontend/tests/e2e/,elspeth-2a6a24407d,elspeth-9074b7e619,3,P2
src/elspeth/web/frontend/tests/e2e/helpers/,elspeth-2a6a24407d,elspeth-1797525723,2,P3
src/elspeth/web/frontend/tests/e2e/page-objects/,elspeth-2a6a24407d,elspeth-f7e2e54a49,2,P3
src/elspeth/web/frontend/tests/e2e/setup/,elspeth-2a6a24407d,elspeth-f8ba719be6,2,P3
src/elspeth/web/middleware/,elspeth-16ee7676a3,elspeth-9fd8206368,3,P2
src/elspeth/web/preferences/,elspeth-9aeadc95e9,elspeth-6569ffaab3,5,P1
src/elspeth/web/secrets/,elspeth-9aeadc95e9,elspeth-7d91240360,5,P1
src/elspeth/web/sessions/,elspeth-00ab664404,elspeth-b59d3430ac,5,P1
src/elspeth/web/sessions/routes/,elspeth-00ab664404,elspeth-205a29d599,5,P1
src/elspeth/web/shareable_reviews/,elspeth-9aeadc95e9,elspeth-31affa4b33,5,P1
