id,text
1,This was terrible
2,"It's fine, nothing special"
3,Absolutely fantastic experience
4,Would not recommend
5,Pretty good overall
6,I love this product
7,This was terrible
8,"It's fine, nothing special"
9,Absolutely fantastic experience
10,Would not recommend
11,Pretty good overall
12,I love this product
13,This was terrible
14,"It's fine, nothing special"
15,Absolutely fantastic experience
16,Would not recommend
17,Pretty good overall
18,I love this product
19,This was terrible
20,"It's fine, nothing special"
21,Absolutely fantastic experience
22,Would not recommend
23,Pretty good overall
24,I love this product
25,This was terrible
26,"It's fine, nothing special"
27,Absolutely fantastic experience
28,Would not recommend
29,Pretty good overall
30,I love this product
31,This was terrible
32,"It's fine, nothing special"
33,Absolutely fantastic experience
34,Would not recommend
35,Pretty good overall
36,I love this product
37,This was terrible
38,"It's fine, nothing special"
39,Absolutely fantastic experience
40,Would not recommend
41,Pretty good overall
42,I love this product
43,This was terrible
44,"It's fine, nothing special"
45,Absolutely fantastic experience
46,Would not recommend
47,Pretty good overall
48,I love this product
49,This was terrible
50,"It's fine, nothing special"
51,Absolutely fantastic experience
52,Would not recommend
53,Pretty good overall
54,I love this product
55,This was terrible
56,"It's fine, nothing special"
57,Absolutely fantastic experience
58,Would not recommend
59,Pretty good overall
60,I love this product
61,This was terrible
62,"It's fine, nothing special"
63,Absolutely fantastic experience
64,Would not recommend
65,Pretty good overall
66,I love this product
67,This was terrible
68,"It's fine, nothing special"
69,Absolutely fantastic experience
70,Would not recommend
71,Pretty good overall
72,I love this product
73,This was terrible
74,"It's fine, nothing special"
75,Absolutely fantastic experience
76,Would not recommend
77,Pretty good overall
78,I love this product
79,This was terrible
80,"It's fine, nothing special"
81,Absolutely fantastic experience
82,Would not recommend
83,Pretty good overall
84,I love this product
85,This was terrible
86,"It's fine, nothing special"
87,Absolutely fantastic experience
88,Would not recommend
89,Pretty good overall
90,I love this product
91,This was terrible
92,"It's fine, nothing special"
93,Absolutely fantastic experience
94,Would not recommend
95,Pretty good overall
96,I love this product
97,This was terrible
98,"It's fine, nothing special"
99,Absolutely fantastic experience
100,Would not recommend
101,Pretty good overall
102,I love this product
103,This was terrible
104,"It's fine, nothing special"
105,Absolutely fantastic experience
106,Would not recommend
107,Pretty good overall
108,I love this product
109,This was terrible
110,"It's fine, nothing special"
111,Absolutely fantastic experience
112,Would not recommend
113,Pretty good overall
114,I love this product
115,This was terrible
116,"It's fine, nothing special"
117,Absolutely fantastic experience
118,Would not recommend
119,Pretty good overall
120,I love this product
