id,text
101,This was terrible
102,"It's fine, nothing special"
103,Absolutely fantastic experience
104,Would not recommend
105,Pretty good overall
106,Exceeded all my expectations
107,Deeply disappointed with this
108,"Solid product, does the job"
109,Complete waste of money
110,I love this product
111,This was terrible
112,"It's fine, nothing special"
113,Absolutely fantastic experience
114,Would not recommend
115,Pretty good overall
116,Exceeded all my expectations
117,Deeply disappointed with this
118,"Solid product, does the job"
119,Complete waste of money
120,I love this product
121,This was terrible
122,"It's fine, nothing special"
123,Absolutely fantastic experience
124,Would not recommend
125,Pretty good overall
126,Exceeded all my expectations
127,Deeply disappointed with this
128,"Solid product, does the job"
129,Complete waste of money
130,I love this product
131,This was terrible
132,"It's fine, nothing special"
133,Absolutely fantastic experience
134,Would not recommend
135,Pretty good overall
136,Exceeded all my expectations
137,Deeply disappointed with this
138,"Solid product, does the job"
139,Complete waste of money
140,I love this product
141,This was terrible
142,"It's fine, nothing special"
143,Absolutely fantastic experience
144,Would not recommend
145,Pretty good overall
146,Exceeded all my expectations
147,Deeply disappointed with this
148,"Solid product, does the job"
149,Complete waste of money
150,I love this product
151,This was terrible
152,"It's fine, nothing special"
153,Absolutely fantastic experience
154,Would not recommend
155,Pretty good overall
156,Exceeded all my expectations
157,Deeply disappointed with this
158,"Solid product, does the job"
159,Complete waste of money
160,I love this product
161,This was terrible
162,"It's fine, nothing special"
163,Absolutely fantastic experience
164,Would not recommend
165,Pretty good overall
166,Exceeded all my expectations
167,Deeply disappointed with this
168,"Solid product, does the job"
169,Complete waste of money
170,I love this product
171,This was terrible
172,"It's fine, nothing special"
173,Absolutely fantastic experience
174,Would not recommend
175,Pretty good overall
176,Exceeded all my expectations
177,Deeply disappointed with this
178,"Solid product, does the job"
179,Complete waste of money
180,I love this product
181,This was terrible
182,"It's fine, nothing special"
183,Absolutely fantastic experience
184,Would not recommend
185,Pretty good overall
186,Exceeded all my expectations
187,Deeply disappointed with this
188,"Solid product, does the job"
189,Complete waste of money
190,I love this product
191,This was terrible
192,"It's fine, nothing special"
193,Absolutely fantastic experience
194,Would not recommend
195,Pretty good overall
196,Exceeded all my expectations
197,Deeply disappointed with this
198,"Solid product, does the job"
199,Complete waste of money
200,I love this product
